Title,Description,Topics,Difficulty
Add Two Numbers,Read two numbers and print their sum.,Basic Programming; Math,Basic
Check Whether a Number is Odd or Even,Decide whether an integer is odd or even.,Basic Programming; Conditionals; Math,Basic
Even Numbers from 1 to 100,Print all even numbers in the range 1 to 100.,Basic Programming; Loops,Basic
Factorial of a Number,Calculate the factorial of a non-negative integer.,Basic Programming; Loops; Math,Basic
Find Value in Vector,Search for a target value in a vector.,Array; Searching,Basic
GCD Brute Force,Find the greatest common divisor by checking factors directly.,Math; Number Theory,Basic
GCD Reverse Brute Force,Scan downward from the smaller number to find the GCD.,Math; Number Theory,Basic
Grade Card Program,Map marks to a grade using conditional logic.,Basic Programming; Conditionals,Basic
Lottery Game,Choose a reward based on the input number range.,Basic Programming; Conditionals,Basic
Maximum Element in Array,Find the largest element in an array.,Array; Searching,Basic
Maximum of Three Numbers,Find the largest among three given numbers.,Basic Programming; Conditionals,Basic
Maximum of Two Numbers,Compare two inputs and print the larger value.,Basic Programming; Conditionals,Basic
Minimum Element in Array,Find the smallest element in an array.,Array; Searching,Basic
Multiplication Table of 7,Print the multiplication table of 7.,Basic Programming; Loops; Math,Basic
Prime Number Check,Test primality with the straightforward divisor check.,Math; Number Theory,Basic
Print Counting from 1 to N,Print numbers from 1 up to N.,Basic Programming; Loops,Basic
Reverse a Number,Reverse the digits of an integer.,Basic Programming; Loops; Digit Manipulation; Math,Basic
Simple Interest Calculation,"Compute simple interest from principal, rate, and time.",Basic Programming; Math,Basic
Sum of Array Elements,Compute the total sum of all elements in an array.,Array,Basic
Sum of Digits,Add all digits of an integer.,Basic Programming; Loops; Digit Manipulation; Math,Basic
Sum of N Natural Numbers,Compute the sum of the first N natural numbers.,Basic Programming; Loops; Math,Basic
Armstrong Number,Check whether a number equals the sum of powers of its digits.,Math; Digit Manipulation,Easy
Binary to Decimal,Convert a binary number into decimal form.,Math; Base Conversion; Digit Manipulation,Easy
Bubble Sort,Sort an array by repeatedly swapping adjacent out-of-order elements.,Array; Sorting,Easy
Column Asymmetric Pattern 4,,Pattern; Loops,Easy
Column Symmetric Pattern 3,,Pattern; Loops,Easy
Decimal to Binary,Convert a decimal number into its binary representation.,Math; Base Conversion; Digit Manipulation,Easy
Fibonacci Number,Compute the nth Fibonacci number recursively.,Recursion; Math,Easy
