Question,Types,Description,Difficulty
Add Two Numbers,Basic Programming; Math,Read two numbers and print their sum.,Basic
Check Whether a Number is Odd or Even,Basic Programming; Conditionals; Math,Decide whether an integer is odd or even.,Basic
Even Numbers from 1 to 100,Basic Programming; Loops,Print all even numbers in the range 1 to 100.,Basic
Factorial of a Number,Basic Programming; Loops; Math,Calculate the factorial of a non-negative integer.,Basic
Find Value in Vector,Array; Searching,Search for a target value in a vector.,Basic
GCD Brute Force,Math; Number Theory,Find the greatest common divisor by checking factors directly.,Basic
GCD Reverse Brute Force,Math; Number Theory,Scan downward from the smaller number to find the GCD.,Basic
Grade Card Program,Basic Programming; Conditionals,Map marks to a grade using conditional logic.,Basic
Lottery Game,Basic Programming; Conditionals,Choose a reward based on the input number range.,Basic
Maximum Element in Array,Array; Searching,Find the largest element in an array.,Basic
Maximum of Three Numbers,Basic Programming; Conditionals,Find the largest among three given numbers.,Basic
Maximum of Two Numbers,Basic Programming; Conditionals,Compare two inputs and print the larger value.,Basic
Minimum Element in Array,Array; Searching,Find the smallest element in an array.,Basic
Multiplication Table of 7,Basic Programming; Loops; Math,Print the multiplication table of 7.,Basic
Pattern 1 (Lecture 5),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Basic
Pattern 1 (Lecture 6),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Basic
Pattern 2 (Lecture 5),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Basic
Pattern 3 (Lecture 5),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Basic
Pattern 4 (Lecture 5),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Basic
Pattern 5 (Lecture 5),Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Basic
Prime Number Check,Math; Number Theory,Test primality with the straightforward divisor check.,Basic
Print Counting from 1 to N,Basic Programming; Loops,Print numbers from 1 up to N.,Basic
Reverse a Number,Basic Programming; Loops; Digit Manipulation; Math,Reverse the digits of an integer.,Basic
Simple Interest Calculation,Basic Programming; Math,"Compute simple interest from principal, rate, and time.",Basic
Sum of Array Elements,Array,Compute the total sum of all elements in an array.,Basic
Sum of Digits,Basic Programming; Loops; Digit Manipulation; Math,Add all digits of an integer.,Basic
Sum of N Natural Numbers,Basic Programming; Loops; Math,Compute the sum of the first N natural numbers.,Basic
Armstrong Number,Math; Digit Manipulation,Check whether a number equals the sum of powers of its digits.,Easy
Binary to Decimal,Math; Base Conversion; Digit Manipulation,Convert a binary number into decimal form.,Easy
Bubble Sort,Array; Sorting,Sort an array by repeatedly swapping adjacent out-of-order elements.,Easy
Column Asymmetric Pattern 4,Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Easy
Column Symmetric Pattern 3,Pattern; Loops,Print the classroom pattern shown in this lecture exercise.,Easy
Decimal to Binary,Math; Base Conversion; Digit Manipulation,Convert a decimal number into its binary representation.,Easy
Fibonacci Number,Recursion; Math,Compute the nth Fibonacci number recursively.,Easy
Fibonacci Series,Loops; Math,Print or generate the Fibonacci sequence up to the requested count.,Easy
GCD Using Euclidean Algorithm,Math; Number Theory,Use repeated remainder reduction to compute the GCD efficiently.,Easy
GCD Using STL,Math; Number Theory,Use the standard library gcd helper to compute the answer.,Easy
